ax,ay,az,gx,gy,gz,label
8.0,37.0,93.0,-2332.0,-2387.0,-3749.0,cuadrado
5.0,50.0,94.0,-2259.0,-2436.0,-4274.0,cuadrado
5.0,57.0,87.0,-1520.0,-1966.0,-3725.0,cuadrado
5.0,65.0,87.0,-1111.0,-1355.0,-2821.0,cuadrado
5.0,64.0,93.0,-928.0,-1172.0,-1624.0,cuadrado
6.0,55.0,89.0,-372.0,-842.0,-757.0,cuadrado
6.0,52.0,86.0,-714.0,-604.0,-409.0,cuadrado
6.0,44.0,80.0,-525.0,67.0,-36.0,cuadrado
4.0,43.0,83.0,-1673.0,867.0,164.0,cuadrado
2.0,37.0,92.0,-1386.0,1160.0,378.0,cuadrado
2.0,34.0,86.0,-293.0,1624.0,-592.0,cuadrado
1.0,40.0,86.0,690.0,2259.0,-1166.0,cuadrado
0.0,49.0,94.0,36.0,2741.0,-1093.0,cuadrado
-4.0,50.0,95.0,885.0,2919.0,-641.0,cuadrado
-2.0,50.0,113.0,610.0,2064.0,-586.0,cuadrado
-6.0,48.0,105.0,317.0,1270.0,-439.0,cuadrado
-4.0,52.0,116.0,1239.0,555.0,-482.0,cuadrado
-6.0,51.0,107.0,-726.0,-85.0,-109.0,cuadrado
-3.0,58.0,101.0,305.0,-274.0,79.0,cuadrado
-4.0,50.0,87.0,-2412.0,-781.0,219.0,cuadrado
-4.0,60.0,83.0,-116.0,592.0,567.0,cuadrado
-4.0,58.0,95.0,-580.0,1117.0,1734.0,cuadrado
-7.0,60.0,89.0,-574.0,1044.0,2241.0,cuadrado
-9.0,58.0,89.0,378.0,1789.0,2851.0,cuadrado
-9.0,52.0,91.0,116.0,1966.0,3493.0,cuadrado
-10.0,40.0,93.0,24.0,2283.0,3230.0,cuadrado
-9.0,45.0,100.0,-67.0,1941.0,2845.0,cuadrado
-12.0,40.0,96.0,-745.0,1673.0,2229.0,cuadrado
-10.0,43.0,94.0,-451.0,1783.0,1874.0,cuadrado
-9.0,43.0,110.0,-305.0,1679.0,1319.0,cuadrado
-9.0,43.0,121.0,-1203.0,317.0,1154.0,cuadrado
-7.0,41.0,124.0,-1453.0,-1239.0,409.0,cuadrado
-7.0,47.0,119.0,-2656.0,-2741.0,-128.0,cuadrado
-6.0,48.0,108.0,-2583.0,-3554.0,-164.0,cuadrado
-5.0,50.0,108.0,-2919.0,-3932.0,79.0,cuadrado
-3.0,44.0,97.0,-2815.0,-4390.0,403.0,cuadrado
0.0,46.0,91.0,-2754.0,-4317.0,592.0,cuadrado
3.0,40.0,85.0,-1624.0,-3584.0,922.0,cuadrado
5.0,36.0,76.0,-2143.0,-2790.0,995.0,cuadrado
7.0,33.0,80.0,-1215.0,-1538.0,1007.0,cuadrado

10.0,39.0,101.0,-262.0,1758.0,3859.0,cuadrado
9.0,37.0,100.0,-36.0,1636.0,4134.0,cuadrado
9.0,31.0,99.0,293.0,1911.0,3914.0,cuadrado
11.0,25.0,106.0,18.0,1612.0,3016.0,cuadrado
11.0,26.0,103.0,-793.0,928.0,2131.0,cuadrado
11.0,23.0,101.0,-195.0,995.0,1221.0,cuadrado
10.0,28.0,102.0,-427.0,506.0,433.0,cuadrado
9.0,30.0,95.0,-140.0,641.0,-232.0,cuadrado
10.0,33.0,94.0,-201.0,714.0,-720.0,cuadrado
7.0,38.0,94.0,-500.0,903.0,-1239.0,cuadrado
4.0,42.0,89.0,134.0,1062.0,-1099.0,cuadrado
3.0,41.0,90.0,134.0,1874.0,-977.0,cuadrado
0.0,40.0,86.0,341.0,2577.0,-970.0,cuadrado
-2.0,39.0,94.0,506.0,3187.0,-1056.0,cuadrado
-4.0,41.0,105.0,409.0,3261.0,-1325.0,cuadrado
-5.0,44.0,108.0,61.0,2577.0,-1361.0,cuadrado
-7.0,46.0,106.0,-122.0,1868.0,-1551.0,cuadrado
-8.0,50.0,104.0,-189.0,1490.0,-1209.0,cuadrado
-9.0,52.0,107.0,-232.0,1019.0,-690.0,cuadrado
-10.0,45.0,111.0,30.0,341.0,-427.0,cuadrado
-11.0,42.0,111.0,-390.0,-549.0,-409.0,cuadrado
-12.0,40.0,106.0,-225.0,-1141.0,-561.0,cuadrado
-12.0,33.0,103.0,-433.0,-1636.0,-983.0,cuadrado
-13.0,33.0,101.0,-690.0,-1728.0,-1667.0,cuadrado
-11.0,35.0,100.0,-1233.0,-1948.0,-2009.0,cuadrado
-10.0,37.0,102.0,-800.0,-2076.0,-2680.0,cuadrado
-9.0,37.0,97.0,-1337.0,-2497.0,-2882.0,cuadrado
-4.0,31.0,90.0,-1960.0,-2332.0,-3175.0,cuadrado
-10.0,38.0,85.0,-512.0,-1685.0,-4268.0,cuadrado
-10.0,65.0,99.0,-696.0,-1270.0,-3010.0,cuadrado
-9.0,54.0,91.0,-146.0,-885.0,-1600.0,cuadrado
-6.0,50.0,98.0,-390.0,-574.0,-946.0,cuadrado
-6.0,42.0,97.0,-128.0,-439.0,-458.0,cuadrado
-6.0,53.0,107.0,-458.0,-439.0,-201.0,cuadrado
-5.0,57.0,115.0,-378.0,-806.0,861.0,cuadrado
-4.0,51.0,118.0,-506.0,-1624.0,1966.0,cuadrado
-4.0,49.0,118.0,-1233.0,-2570.0,2277.0,cuadrado
-5.0,43.0,113.0,-1312.0,-3792.0,2894.0,cuadrado
-3.0,34.0,92.0,-1374.0,-4085.0,2882.0,cuadrado
0.0,26.0,83.0,-506.0,-3059.0,2509.0,cuadrado

1.0,43.0,103.0,335.0,1929.0,4390.0,cuadrado
1.0,32.0,104.0,305.0,1807.0,4561.0,cuadrado
2.0,23.0,106.0,-48.0,1532.0,4000.0,cuadrado
4.0,17.0,111.0,-372.0,1337.0,2711.0,cuadrado
6.0,20.0,109.0,-610.0,250.0,1496.0,cuadrado
4.0,26.0,95.0,-659.0,177.0,396.0,cuadrado
5.0,36.0,93.0,-604.0,512.0,225.0,cuadrado
3.0,34.0,95.0,-268.0,781.0,73.0,cuadrado
1.0,31.0,95.0,-317.0,867.0,-439.0,cuadrado
0.0,34.0,97.0,-225.0,934.0,-708.0,cuadrado
-3.0,30.0,89.0,-604.0,1050.0,-1087.0,cuadrado
-3.0,32.0,95.0,-665.0,1697.0,-1807.0,cuadrado
-5.0,38.0,94.0,-177.0,1832.0,-1691.0,cuadrado
-4.0,39.0,98.0,91.0,2296.0,-1789.0,cuadrado
-7.0,42.0,108.0,-201.0,2326.0,-1386.0,cuadrado
-7.0,41.0,110.0,854.0,1587.0,-1435.0,cuadrado
-8.0,44.0,99.0,-109.0,1203.0,-1661.0,cuadrado
