ax,ay,az,gx,gy,gz,label
20.0,-5.0,96.0,928.0,3517.0,500.0,ele
19.0,0.0,110.0,1044.0,4201.0,348.0,ele
14.0,3.0,122.0,299.0,3322.0,-604.0,ele
13.0,7.0,126.0,-2186.0,2442.0,61.0,ele
13.0,4.0,131.0,-977.0,2241.0,354.0,ele
10.0,-2.0,130.0,-806.0,1172.0,85.0,ele
8.0,-5.0,119.0,354.0,580.0,-537.0,ele
6.0,13.0,117.0,-879.0,372.0,-555.0,ele
8.0,10.0,112.0,-134.0,488.0,806.0,ele
7.0,0.0,108.0,12.0,769.0,836.0,ele
6.0,-1.0,109.0,-109.0,751.0,421.0,ele
4.0,0.0,111.0,-604.0,800.0,-73.0,ele
3.0,6.0,119.0,-409.0,140.0,91.0,ele
2.0,2.0,107.0,-1038.0,-280.0,451.0,ele
4.0,5.0,105.0,-800.0,164.0,580.0,ele
7.0,-1.0,112.0,164.0,476.0,403.0,ele
7.0,0.0,115.0,-494.0,268.0,280.0,ele
5.0,-4.0,118.0,-48.0,-280.0,67.0,ele
3.0,-9.0,116.0,-195.0,-415.0,-122.0,ele
2.0,-16.0,113.0,-207.0,-1160.0,-751.0,ele
3.0,-21.0,111.0,-2021.0,-1520.0,-1160.0,ele
4.0,-20.0,113.0,140.0,-1044.0,-2381.0,ele
4.0,-10.0,114.0,-427.0,-1166.0,-3181.0,ele
4.0,0.0,112.0,-555.0,-1251.0,-3377.0,ele
2.0,11.0,102.0,183.0,-1117.0,-2851.0,ele
4.0,7.0,115.0,305.0,-476.0,-2125.0,ele
5.0,9.0,118.0,225.0,-1441.0,-2308.0,ele
8.0,6.0,111.0,-561.0,-2320.0,-1899.0,ele
10.0,6.0,101.0,-702.0,-2540.0,-2161.0,ele
13.0,5.0,91.0,-494.0,-1807.0,-2564.0,ele
17.0,23.0,93.0,812.0,-842.0,-3187.0,ele
16.0,37.0,98.0,-293.0,-287.0,-2229.0,ele
15.0,34.0,106.0,323.0,30.0,-225.0,ele
15.0,21.0,105.0,-42.0,-109.0,922.0,ele
16.0,10.0,104.0,-763.0,24.0,1386.0,ele
16.0,5.0,107.0,-867.0,152.0,1087.0,ele
15.0,2.0,110.0,-629.0,-91.0,891.0,ele
16.0,0.0,108.0,-189.0,-85.0,494.0,ele
14.0,3.0,109.0,-451.0,-183.0,-12.0,ele
14.0,10.0,110.0,-146.0,-158.0,170.0,ele

24.0,4.0,108.0,-879.0,317.0,335.0,ele
23.0,-6.0,109.0,-213.0,-177.0,280.0,ele
20.0,-2.0,100.0,-287.0,-335.0,-409.0,ele
22.0,5.0,100.0,-922.0,-122.0,36.0,ele
22.0,0.0,100.0,-494.0,-61.0,42.0,ele
20.0,-3.0,105.0,-519.0,103.0,-42.0,ele
20.0,1.0,104.0,-763.0,6.0,-195.0,ele
21.0,-2.0,109.0,-1679.0,-482.0,-73.0,ele
21.0,0.0,99.0,-158.0,-702.0,-317.0,ele
19.0,2.0,101.0,-1361.0,-305.0,-140.0,ele
20.0,7.0,97.0,-48.0,-506.0,238.0,ele
19.0,0.0,86.0,-2314.0,219.0,1141.0,ele
19.0,-6.0,90.0,1642.0,885.0,-116.0,ele
20.0,-10.0,105.0,-2558.0,1551.0,-219.0,ele
23.0,3.0,99.0,1123.0,1557.0,-824.0,ele
18.0,10.0,104.0,18.0,2876.0,366.0,ele
18.0,10.0,108.0,1630.0,3462.0,1306.0,ele
14.0,-7.0,127.0,-287.0,3132.0,1398.0,ele
13.0,-7.0,121.0,1422.0,1960.0,280.0,ele
11.0,-3.0,120.0,-775.0,1679.0,-97.0,ele
12.0,4.0,120.0,482.0,1416.0,67.0,ele
8.0,-1.0,119.0,598.0,946.0,274.0,ele
6.0,1.0,121.0,-146.0,384.0,-244.0,ele
4.0,4.0,116.0,91.0,189.0,-73.0,ele
4.0,-5.0,121.0,256.0,61.0,-183.0,ele
3.0,-11.0,118.0,482.0,-751.0,-928.0,ele
4.0,-8.0,110.0,-873.0,-1264.0,-1703.0,ele
5.0,-8.0,105.0,-488.0,-1025.0,-2461.0,ele
6.0,0.0,108.0,-726.0,-726.0,-2858.0,ele
8.0,8.0,106.0,-922.0,-787.0,-2509.0,ele
6.0,-6.0,110.0,-1477.0,-714.0,-2784.0,ele
7.0,14.0,112.0,-1154.0,-1068.0,-3041.0,ele
9.0,4.0,110.0,-1838.0,-1270.0,-1593.0,ele
9.0,1.0,113.0,-293.0,-1496.0,-2821.0,ele
9.0,3.0,104.0,-977.0,-1618.0,-2558.0,ele
11.0,6.0,100.0,36.0,-1129.0,-2955.0,ele
10.0,4.0,101.0,-787.0,-659.0,-2680.0,ele
11.0,14.0,102.0,-396.0,-201.0,-2735.0,ele
12.0,18.0,106.0,-781.0,-134.0,-1770.0,ele
12.0,9.0,107.0,-769.0,-335.0,-1331.0,ele

17.0,-7.0,112.0,42.0,-390.0,-378.0,ele
14.0,0.0,100.0,561.0,-848.0,-500.0,ele
14.0,7.0,91.0,-928.0,-1025.0,280.0,ele
16.0,0.0,83.0,-1972.0,-818.0,958.0,ele
18.0,-6.0,89.0,-1911.0,183.0,964.0,ele
17.0,-15.0,101.0,-1325.0,500.0,683.0,ele
15.0,-21.0,97.0,-6.0,183.0,-427.0,ele
17.0,-12.0,94.0,-341.0,745.0,-848.0,ele
17.0,-7.0,98.0,-567.0,909.0,-775.0,ele
17.0,-15.0,106.0,-2314.0,1538.0,-726.0,ele
14.0,2.0,104.0,2436.0,1563.0,-677.0,ele
13.0,-3.0,105.0,-1618.0,1996.0,555.0,ele
12.0,-2.0,111.0,812.0,2564.0,683.0,ele
10.0,-6.0,121.0,604.0,2528.0,940.0,ele
9.0,-14.0,128.0,396.0,2155.0,567.0,ele
6.0,-7.0,129.0,225.0,867.0,-103.0,ele
6.0,-4.0,113.0,-494.0,494.0,189.0,ele
7.0,-7.0,117.0,1691.0,439.0,-79.0,ele
6.0,-8.0,125.0,-714.0,311.0,525.0,ele
4.0,-12.0,121.0,24.0,-781.0,451.0,ele
3.0,-21.0,109.0,-427.0,-928.0,-232.0,ele
6.0,-21.0,109.0,-201.0,-567.0,-958.0,ele
