ax,ay,az,gx,gy,gz,label
-2.0,55.0,88.0,-506.0,-946.0,-1331.0,linea
-1.0,55.0,89.0,-763.0,-983.0,-1514.0,linea
-3.0,57.0,92.0,-366.0,-1001.0,-1667.0,linea
-3.0,54.0,92.0,-531.0,-1337.0,-1563.0,linea
-3.0,58.0,91.0,-793.0,-1538.0,-1581.0,linea
-3.0,55.0,90.0,-506.0,-1447.0,-1514.0,linea
-1.0,53.0,88.0,-439.0,-1337.0,-1618.0,linea
-1.0,56.0,92.0,-372.0,-1441.0,-1893.0,linea
-1.0,54.0,88.0,-787.0,-1538.0,-1728.0,linea
-4.0,55.0,90.0,-403.0,-1239.0,-1960.0,linea
-2.0,57.0,91.0,-787.0,-1502.0,-1606.0,linea
-2.0,51.0,86.0,-378.0,-916.0,-1563.0,linea
-2.0,51.0,95.0,-329.0,-977.0,-1758.0,linea
-3.0,52.0,93.0,-671.0,-1465.0,-1990.0,linea
-3.0,55.0,90.0,-1123.0,-1673.0,-2003.0,linea
-3.0,54.0,85.0,-543.0,-1355.0,-1954.0,linea
-4.0,60.0,88.0,122.0,-885.0,-1764.0,linea
-4.0,57.0,90.0,280.0,-439.0,-1093.0,linea
-4.0,56.0,97.0,170.0,-751.0,-1129.0,linea
-3.0,55.0,93.0,-635.0,-1398.0,-1087.0,linea
-2.0,52.0,90.0,-415.0,-1288.0,-1361.0,linea
-4.0,60.0,87.0,311.0,-1258.0,-1367.0,linea
-3.0,58.0,87.0,-164.0,-854.0,-653.0,linea
-2.0,52.0,88.0,-164.0,-622.0,-769.0,linea
-2.0,56.0,93.0,-696.0,-824.0,-916.0,linea
-2.0,53.0,88.0,-653.0,-1068.0,-1038.0,linea
-2.0,59.0,93.0,-1447.0,-1123.0,-977.0,linea
-1.0,52.0,83.0,-1062.0,-1209.0,-891.0,linea
-1.0,56.0,87.0,-1032.0,-671.0,-897.0,linea
-1.0,52.0,88.0,-225.0,-232.0,-708.0,linea
-2.0,54.0,94.0,-690.0,-348.0,-696.0,linea
-1.0,54.0,91.0,-54.0,-323.0,-629.0,linea
-2.0,54.0,92.0,-665.0,-403.0,-519.0,linea
-3.0,55.0,95.0,421.0,-134.0,-195.0,linea
-2.0,51.0,94.0,-335.0,-616.0,-268.0,linea
-1.0,55.0,91.0,-360.0,-867.0,-598.0,linea
-2.0,53.0,87.0,-677.0,-690.0,-512.0,linea
-1.0,59.0,86.0,-232.0,-164.0,-323.0,linea
-2.0,56.0,89.0,-653.0,-73.0,0.0,linea
-2.0,51.0,91.0,-567.0,85.0,-109.0,linea

-10.0,49.0,97.0,-79.0,-616.0,-1215.0,linea
-10.0,52.0,92.0,-415.0,-928.0,-1050.0,linea
-10.0,45.0,93.0,-451.0,-842.0,-1227.0,linea
-9.0,48.0,95.0,-384.0,-989.0,-1453.0,linea
-8.0,53.0,96.0,-433.0,-1215.0,-1520.0,linea
-10.0,52.0,94.0,-616.0,-1520.0,-1477.0,linea
-9.0,54.0,91.0,-409.0,-1532.0,-1184.0,linea
-8.0,48.0,86.0,-555.0,-1111.0,-1123.0,linea
-7.0,49.0,91.0,-134.0,-653.0,-1300.0,linea
-8.0,49.0,97.0,-274.0,-842.0,-1282.0,linea
-9.0,47.0,95.0,-323.0,-1215.0,-1441.0,linea
-8.0,51.0,93.0,-445.0,-1251.0,-1410.0,linea
-7.0,48.0,92.0,-323.0,-1087.0,-1569.0,linea
-7.0,55.0,93.0,-244.0,-1093.0,-1410.0,linea
-9.0,51.0,92.0,-134.0,-928.0,-1044.0,linea
-8.0,49.0,92.0,-103.0,-946.0,-1062.0,linea
-7.0,47.0,90.0,-482.0,-690.0,-1141.0,linea
-7.0,50.0,92.0,-482.0,-775.0,-1319.0,linea
-7.0,47.0,91.0,-647.0,-665.0,-1361.0,linea
-8.0,55.0,92.0,-427.0,-476.0,-1215.0,linea
-9.0,50.0,94.0,67.0,-439.0,-775.0,linea
-8.0,49.0,96.0,232.0,-415.0,-726.0,linea
-8.0,45.0,95.0,6.0,-781.0,-1019.0,linea
-8.0,51.0,98.0,-195.0,-983.0,-1154.0,linea
-9.0,50.0,94.0,-91.0,-1050.0,-995.0,linea
-8.0,52.0,94.0,-12.0,-1056.0,-952.0,linea
-7.0,49.0,90.0,-140.0,-1111.0,-836.0,linea
-8.0,51.0,89.0,-109.0,-793.0,-1080.0,linea
-7.0,54.0,91.0,-250.0,-861.0,-751.0,linea
-7.0,50.0,90.0,-152.0,-665.0,-879.0,linea
-7.0,50.0,89.0,-531.0,-671.0,-787.0,linea
-8.0,50.0,90.0,-225.0,-317.0,-708.0,linea
-7.0,47.0,96.0,-512.0,-433.0,-702.0,linea
-9.0,50.0,94.0,-451.0,-506.0,-854.0,linea
-9.0,51.0,95.0,-299.0,-592.0,-812.0,linea
-8.0,51.0,92.0,-48.0,-622.0,-751.0,linea
-8.0,53.0,91.0,-195.0,-708.0,-549.0,linea
-8.0,51.0,89.0,134.0,-403.0,-488.0,linea
-7.0,53.0,89.0,116.0,-268.0,-195.0,linea
-7.0,47.0,95.0,372.0,-109.0,-299.0,linea

1.0,68.0,86.0,-1056.0,-262.0,-720.0,linea
0.0,68.0,84.0,-1123.0,-720.0,-800.0,linea
0.0,66.0,81.0,-641.0,-989.0,-897.0,linea
0.0,66.0,79.0,-610.0,-958.0,-964.0,linea
0.0,66.0,82.0,-488.0,-787.0,-1056.0,linea
0.0,60.0,86.0,-738.0,-952.0,-995.0,linea
-2.0,63.0,84.0,-1093.0,-1410.0,-1691.0,linea
0.0,67.0,80.0,-146.0,-1331.0,-1575.0,linea
0.0,69.0,84.0,-287.0,-1422.0,-1654.0,linea
-1.0,67.0,80.0,-341.0,-1654.0,-1538.0,linea
-1.0,71.0,82.0,-977.0,-1709.0,-1141.0,linea
-2.0,62.0,77.0,-977.0,-1435.0,-1532.0,linea
-2.0,71.0,80.0,-824.0,-1258.0,-1331.0,linea
0.0,64.0,81.0,-928.0,-1227.0,-1245.0,linea
-1.0,62.0,79.0,-879.0,-1105.0,-1441.0,linea
-1.0,67.0,81.0,-103.0,-854.0,-1416.0,linea
-1.0,66.0,86.0,140.0,-1050.0,-1404.0,linea
-1.0,72.0,85.0,-268.0,-1490.0,-1270.0,linea
-2.0,72.0,82.0,-610.0,-1435.0,-818.0,linea
-1.0,64.0,84.0,189.0,-1196.0,-470.0,linea
0.0,67.0,85.0,-470.0,-1575.0,-598.0,linea
0.0,65.0,76.0,-506.0,-1520.0,-683.0,linea
0.0,66.0,78.0,-537.0,-1227.0,-836.0,linea
0.0,63.0,79.0,-616.0,-1105.0,-665.0,linea
0.0,66.0,80.0,-561.0,-842.0,-867.0,linea
0.0,62.0,84.0,-287.0,-916.0,-867.0,linea
0.0,66.0,80.0,-567.0,-1068.0,-909.0,linea
0.0,63.0,80.0,-42.0,-800.0,-970.0,linea
0.0,65.0,82.0,-293.0,-830.0,-1062.0,linea
0.0,69.0,78.0,-244.0,-696.0,-928.0,linea
-1.0,73.0,81.0,-604.0,-500.0,-409.0,linea
0.0,59.0,80.0,-354.0,-256.0,-109.0,linea
0.0,67.0,87.0,-433.0,-439.0,-555.0,linea
0.0,65.0,81.0,-848.0,-745.0,-323.0,linea
0.0,62.0,82.0,-512.0,-500.0,-702.0,linea
0.0,71.0,83.0,-543.0,-677.0,-488.0,linea
0.0,66.0,81.0,-403.0,-500.0,-274.0,linea
0.0,67.0,81.0,-635.0,-470.0,-311.0,linea
0.0,66.0,80.0,-610.0,-421.0,-128.0,linea
0.0,66.0,81.0,-262.0,-201.0,-61.0,linea

-13.0,67.0,80.0,-934.0,-1978.0,1196.0,linea
-9.0,64.0,81.0,-366.0,-1447.0,1251.0,linea
-7.0,60.0,81.0,-1154.0,-1184.0,1392.0,linea
-6.0,60.0,86.0,-122.0,-848.0,1154.0,linea
-4.0,61.0,87.0,-1111.0,-1239.0,1496.0,linea
-4.0,60.0,84.0,-1111.0,-1239.0,1184.0,linea
-2.0,59.0,85.0,-1154.0,-1306.0,1355.0,linea
0.0,58.0,85.0,-1129.0,-983.0,1184.0,linea
0.0,56.0,87.0,-940.0,-1074.0,1184.0,linea
2.0,56.0,88.0,-1258.0,-1245.0,1044.0,linea
3.0,54.0,86.0,-714.0,-1062.0,708.0,linea
3.0,60.0,89.0,-561.0,-1258.0,909.0,linea
5.0,55.0,87.0,-653.0,-1093.0,922.0,linea
6.0,58.0,87.0,-604.0,-1270.0,861.0,linea
7.0,56.0,84.0,-653.0,-995.0,989.0,linea
9.0,54.0,88.0,-580.0,-861.0,885.0,linea
10.0,56.0,88.0,-629.0,-989.0,861.0,linea
10.0,57.0,88.0,-769.0,-818.0,592.0,linea
12.0,54.0,87.0,-427.0,-683.0,671.0,linea
13.0,54.0,90.0,-476.0,-726.0,427.0,linea
12.0,55.0,86.0,-384.0,-745.0,311.0,linea
15.0,56.0,88.0,-586.0,-616.0,415.0,linea
14.0,56.0,89.0,-415.0,-580.0,225.0,linea
15.0,57.0,88.0,-494.0,-635.0,341.0,linea
15.0,53.0,85.0,-464.0,-500.0,323.0,linea
17.0,53.0,86.0,-396.0,-421.0,158.0,linea
16.0,57.0,85.0,-494.0,-207.0,213.0,linea
14.0,52.0,87.0,-574.0,-36.0,73.0,linea
17.0,55.0,89.0,-451.0,-61.0,-128.0,linea
16.0,56.0,89.0,-555.0,-116.0,-109.0,linea
16.0,59.0,91.0,-250.0,-152.0,-54.0,linea
15.0,56.0,89.0,-366.0,-323.0,122.0,linea
16.0,56.0,87.0,-525.0,-238.0,97.0,linea
16.0,57.0,87.0,-458.0,-79.0,195.0,linea
17.0,54.0,91.0,-665.0,-140.0,201.0,linea
18.0,53.0,91.0,-580.0,-354.0,85.0,linea
16.0,54.0,87.0,-586.0,-329.0,-30.0,linea
17.0,58.0,88.0,-665.0,-250.0,-24.0,linea
16.0,54.0,85.0,-586.0,-158.0,54.0,linea
15.0,60.0,92.0,48.0,-12.0,61.0,linea

-14.0,57.0,91.0,-549.0,-745.0,757.0,linea
-12.0,49.0,89.0,-854.0,-604.0,403.0,linea
-12.0,59.0,95.0,-1215.0,-842.0,604.0,linea
-12.0,50.0,92.0,-1545.0,-1276.0,610.0,linea
-10.0,53.0,91.0,-1007.0,-1227.0,494.0,linea
-8.0,47.0,97.0,-18.0,-1325.0,403.0,linea
-7.0,55.0,96.0,-787.0,-1728.0,134.0,linea
-8.0,53.0,89.0,-873.0,-1832.0,525.0,linea
-6.0,56.0,92.0,-812.0,-1563.0,616.0,linea
-4.0,54.0,91.0,-909.0,-1569.0,1129.0,linea
-3.0,52.0,89.0,-1001.0,-1349.0,1141.0,linea
0.0,49.0,92.0,-1300.0,-1367.0,824.0,linea
0.0,54.0,94.0,-1117.0,-1508.0,989.0,linea
0.0,50.0,90.0,-1227.0,-1245.0,1117.0,linea
3.0,50.0,92.0,-787.0,-1160.0,1148.0,linea
4.0,48.0,96.0,-958.0,-1270.0,1087.0,linea
5.0,48.0,95.0,-903.0,-1337.0,1172.0,linea
7.0,44.0,94.0,-824.0,-1312.0,1056.0,linea
