ax,ay,az,gx,gy,gz,label
7.0,59.0,86.0,-433.0,-134.0,30.0,reposo
7.0,59.0,87.0,-445.0,-134.0,42.0,reposo
7.0,58.0,87.0,-409.0,-146.0,6.0,reposo
7.0,60.0,87.0,-427.0,-128.0,36.0,reposo
7.0,59.0,87.0,-433.0,-128.0,18.0,reposo
7.0,59.0,87.0,-433.0,-128.0,24.0,reposo
6.0,59.0,86.0,-433.0,-122.0,24.0,reposo
7.0,60.0,87.0,-403.0,-116.0,12.0,reposo
8.0,59.0,87.0,-415.0,-134.0,36.0,reposo
7.0,59.0,88.0,-427.0,-140.0,24.0,reposo
7.0,59.0,87.0,-415.0,-140.0,12.0,reposo
7.0,59.0,88.0,-421.0,-152.0,42.0,reposo
7.0,59.0,86.0,-458.0,-134.0,30.0,reposo
6.0,59.0,88.0,-421.0,-128.0,30.0,reposo
7.0,59.0,86.0,-445.0,-128.0,36.0,reposo
7.0,60.0,86.0,-439.0,-164.0,42.0,reposo
6.0,60.0,87.0,-433.0,-134.0,42.0,reposo
7.0,60.0,88.0,-421.0,-109.0,18.0,reposo
7.0,59.0,87.0,-421.0,-152.0,36.0,reposo
7.0,59.0,87.0,-427.0,-140.0,36.0,reposo
6.0,60.0,87.0,-433.0,-140.0,18.0,reposo
7.0,59.0,87.0,-415.0,-122.0,30.0,reposo
7.0,59.0,87.0,-439.0,-134.0,42.0,reposo
7.0,60.0,87.0,-451.0,-140.0,42.0,reposo
7.0,59.0,88.0,-433.0,-134.0,30.0,reposo
7.0,59.0,87.0,-445.0,-128.0,24.0,reposo
7.0,59.0,87.0,-445.0,-134.0,12.0,reposo
7.0,60.0,88.0,-445.0,-122.0,24.0,reposo
7.0,59.0,88.0,-439.0,-128.0,42.0,reposo
7.0,60.0,87.0,-445.0,-146.0,48.0,reposo
7.0,59.0,88.0,-415.0,-152.0,24.0,reposo
7.0,59.0,87.0,-433.0,-146.0,42.0,reposo
7.0,60.0,88.0,-421.0,-134.0,24.0,reposo
7.0,59.0,88.0,-439.0,-134.0,30.0,reposo
7.0,60.0,87.0,-403.0,-140.0,30.0,reposo
7.0,59.0,87.0,-433.0,-140.0,42.0,reposo
7.0,59.0,87.0,-427.0,-128.0,36.0,reposo
8.0,59.0,87.0,-403.0,-109.0,42.0,reposo
6.0,59.0,87.0,-439.0,-128.0,24.0,reposo
