ax,ay,az,gx,gy,gz,label
11.0,12.0,64.0,-2833.0,-7016.0,-5459.0,signo
14.0,28.0,41.0,-2796.0,-4048.0,-6937.0,signo
15.0,42.0,51.0,-1764.0,-604.0,-6980.0,signo
13.0,65.0,53.0,-2619.0,1312.0,-6161.0,signo
10.0,83.0,53.0,-1392.0,3969.0,-4683.0,signo
9.0,112.0,70.0,-604.0,5819.0,-1508.0,signo
10.0,92.0,89.0,1288.0,7151.0,1587.0,signo
12.0,86.0,125.0,2461.0,6424.0,3719.0,signo
12.0,52.0,137.0,1587.0,4317.0,4983.0,signo
13.0,27.0,134.0,964.0,1563.0,3914.0,signo
10.0,14.0,104.0,-1038.0,-409.0,1905.0,signo
2.0,21.0,74.0,-1117.0,-201.0,67.0,signo
-5.0,38.0,68.0,-48.0,1178.0,-567.0,signo
-5.0,41.0,70.0,-140.0,2839.0,-610.0,signo
-4.0,32.0,76.0,-702.0,3242.0,-854.0,signo
-3.0,62.0,100.0,317.0,4665.0,-2045.0,signo
0.0,71.0,139.0,836.0,3566.0,-677.0,signo
4.0,52.0,132.0,348.0,763.0,-360.0,signo
0.0,65.0,115.0,-598.0,-1129.0,67.0,signo
-2.0,55.0,90.0,-1270.0,-1245.0,665.0,signo
-2.0,48.0,86.0,-158.0,-421.0,757.0,signo
-1.0,52.0,92.0,-757.0,-213.0,635.0,signo
-3.0,47.0,92.0,-445.0,-134.0,574.0,signo
-3.0,48.0,94.0,-531.0,-116.0,140.0,signo
-3.0,50.0,90.0,-665.0,-299.0,299.0,signo
-4.0,51.0,92.0,-372.0,109.0,189.0,signo
-2.0,50.0,94.0,-561.0,-54.0,439.0,signo
-2.0,48.0,96.0,-506.0,-18.0,-103.0,signo
-3.0,48.0,96.0,-616.0,-311.0,109.0,signo
-2.0,51.0,96.0,-561.0,-427.0,201.0,signo
0.0,46.0,97.0,-635.0,-610.0,158.0,signo
-1.0,44.0,95.0,-916.0,-897.0,-238.0,signo
-2.0,54.0,95.0,-360.0,-970.0,18.0,signo
-1.0,48.0,88.0,85.0,-574.0,219.0,signo
0.0,53.0,95.0,-250.0,-476.0,152.0,signo
0.0,48.0,91.0,-415.0,-555.0,390.0,signo
1.0,48.0,95.0,-79.0,-348.0,24.0,signo
1.0,55.0,96.0,-280.0,-610.0,268.0,signo
1.0,51.0,95.0,-287.0,-604.0,531.0,signo
5.0,47.0,96.0,146.0,-696.0,458.0,signo

33.0,-11.0,95.0,-1868.0,1526.0,48.0,signo
33.0,-3.0,132.0,830.0,732.0,317.0,signo
43.0,-40.0,139.0,-1630.0,-1716.0,1453.0,signo
43.0,-107.0,149.0,409.0,-5465.0,-3261.0,signo
30.0,-54.0,79.0,-4079.0,-7316.0,-7890.0,signo
22.0,-17.0,39.0,-683.0,-3175.0,-8403.0,signo
24.0,11.0,54.0,134.0,586.0,-6528.0,signo
26.0,0.0,88.0,-592.0,1300.0,-5587.0,signo
26.0,32.0,78.0,213.0,1465.0,-5709.0,signo
32.0,63.0,85.0,451.0,2821.0,-2082.0,signo
39.0,30.0,77.0,109.0,3114.0,653.0,signo
37.0,26.0,80.0,2058.0,5777.0,1258.0,signo
34.0,42.0,112.0,940.0,5557.0,3212.0,signo
28.0,22.0,125.0,3035.0,4268.0,4940.0,signo
24.0,1.0,131.0,1380.0,2723.0,5233.0,signo
27.0,-17.0,129.0,464.0,738.0,4195.0,signo
31.0,-28.0,138.0,244.0,-219.0,2595.0,signo
35.0,-19.0,158.0,-916.0,-2754.0,1868.0,signo
36.0,-20.0,124.0,451.0,-4458.0,525.0,signo
34.0,3.0,107.0,-219.0,-3487.0,-152.0,signo
31.0,2.0,96.0,1184.0,-3584.0,262.0,signo
27.0,-4.0,53.0,54.0,-2259.0,-201.0,signo
28.0,-1.0,25.0,-24.0,989.0,-793.0,signo
20.0,0.0,31.0,-2454.0,4183.0,-922.0,signo
